Ageing Time,C4 (Pred),C4 (Pred)*,C4,AE,SE,RMSE
0,88.6,88.6,88.6,0,0,
0.224089636,88.40952381,88.40952381,88.40952381,0,0,
0.448179272,88.21904762,88.21904762,88.21904762,0,0,
0.672268908,88.02857143,88.02857143,88.02857143,0,0,
0.896358543,87.83809524,87.83809524,87.83809524,0,0,
1.120448179,87.64761905,87.64761905,87.64761905,0,0,
1.344537815,87.45714286,87.45714286,87.45714286,0,0,
1.568627451,87.26666667,87.26666667,87.26666667,0,0,
1.792717087,87.07619048,87.07619048,87.07619048,0,0,
2.016806723,86.89621849,86.89621849,86.89621849,0,0,
2.240896359,86.84579832,86.84579832,86.84579832,0,0,
2.464985994,86.79537815,86.79537815,86.79537815,0,0,
2.68907563,86.74495798,86.74495798,86.74495798,0,0,
2.913165266,86.69453782,86.69453782,86.69453782,0,0,
3.137254902,86.64411765,86.64411765,86.64411765,0,0,
3.361344538,86.59369748,86.59369748,86.59369748,0,0,
3.585434174,86.54327731,86.54327731,86.54327731,0,0,
3.80952381,86.49285714,86.49285714,86.49285714,0,0,
4.033613445,86.44243697,86.44243697,86.44243697,0,0,
4.257703081,86.39201681,86.39201681,86.39201681,0,0,
4.481792717,86.34159664,86.34159664,86.34159664,0,0,
4.705882353,86.29117647,86.29117647,86.29117647,0,0,
4.929971989,86.2407563,86.2407563,86.2407563,0,0,
5.154061625,86.19033613,86.19033613,86.19033613,0,0,
5.378151261,86.13991597,86.13991597,86.13991597,0,0,
5.602240896,86.0894958,86.0894958,86.0894958,0,0,
5.826330532,86.03907563,86.03907563,86.03907563,0,0,
6.050420168,85.99558824,85.99558824,85.99558824,0,0,
6.274509804,85.97598039,85.97598039,85.97598039,0,0,
6.49859944,85.95637255,85.95637255,85.95637255,0,0,
6.722689076,85.93676471,85.93676471,85.93676471,0,0,
6.946778711,85.91715686,85.91715686,85.91715686,0,0,
7.170868347,85.89754902,85.89754902,85.89754902,0,0,
7.394957983,85.87794118,85.87794118,85.87794118,0,0,
7.619047619,85.85833333,85.85833333,85.85833333,0,0,
7.843137255,85.83872549,85.83872549,85.83872549,0,0,
8.067226891,85.81911765,85.81911765,85.81911765,0,0,
8.291316527,85.7995098,85.7995098,85.7995098,0,0,
8.515406162,85.77990196,85.77990196,85.77990196,0,0,
8.739495798,85.76029412,85.76029412,85.76029412,0,0,
8.963585434,85.74068627,85.74068627,85.74068627,0,0,
9.18767507,85.72107843,85.72107843,85.72107843,0,0,
9.411764706,85.70147059,85.70147059,85.70147059,0,0,
9.635854342,85.68186275,85.68186275,85.68186275,0,0,
9.859943978,85.6622549,85.6622549,85.6622549,0,0,
10.08403361,85.64264706,85.64264706,85.64264706,0,0,
10.30812325,85.62303922,85.62303922,85.62303922,0,0,
10.53221289,85.60343137,85.60343137,85.60343137,0,0,
10.75630252,85.58382353,85.58382353,85.58382353,0,0,
10.98039216,85.56421569,85.56421569,85.56421569,0,0,
11.20448179,85.54460784,85.54460784,85.54460784,0,0,
11.42857143,85.525,85.525,85.525,0,0,
11.65266106,85.50539216,85.50539216,85.50539216,0,0,
11.8767507,85.48578431,85.48578431,85.48578431,0,0,
12.10084034,85.46617647,85.46617647,85.46617647,0,0,
12.32492997,85.44656863,85.44656863,85.44656863,0,0,
12.54901961,85.42696078,85.42696078,85.42696078,0,0,
12.77310924,85.40735294,85.40735294,85.40735294,0,0,
12.99719888,85.3877451,85.3877451,85.3877451,0,0,
13.22128852,85.36813725,85.36813725,85.36813725,0,0,
13.44537815,85.34852941,85.34852941,85.34852941,0,0,
13.66946779,85.32892157,85.32892157,85.32892157,0,0,
13.89355742,85.30931373,85.30931373,85.30931373,0,0,
14.11764706,85.28529412,85.28529412,85.28529412,0,0,
14.34173669,85.25728291,85.25728291,85.25728291,0,0,
14.56582633,85.22927171,85.22927171,85.22927171,0,0,
14.78991597,85.2012605,85.2012605,85.2012605,0,0,
15.0140056,85.1732493,85.1732493,85.1732493,0,0,
15.23809524,85.1452381,85.1452381,85.1452381,0,0,
15.46218487,85.11722689,85.11722689,85.11722689,0,0,
15.68627451,85.08921569,85.08921569,85.08921569,0,0,
15.91036415,85.06120448,85.06120448,85.06120448,0,0,
16.13445378,85.03319328,85.03319328,85.03319328,0,0,
16.35854342,85.00518207,85.00518207,85.00518207,0,0,
16.58263305,84.97717087,84.97717087,84.97717087,0,0,
16.80672269,84.94915966,84.94915966,84.94915966,0,0,
17.03081232,84.92114846,84.92114846,84.92114846,0,0,
17.25490196,84.89313725,84.89313725,84.89313725,0,0,
17.4789916,84.86512605,84.86512605,84.86512605,0,0,
17.70308123,84.83711485,84.83711485,84.83711485,0,0,
17.92717087,84.80910364,84.80910364,84.80910364,0,0,
