Ageing Time,C1 (Pred),C1 (Pred)*,C1 (True),AE,SE,RMSE
0,89.2,89.2,89.2,0,0,
0.224089636,88.93109244,88.93109244,88.93109244,3.02521E-09,9.15188E-18,
0.448179272,88.66218487,88.66218487,88.66218487,3.94949E-09,1.55985E-17,
0.672268908,88.39327731,88.39327731,88.39327731,9.24302E-10,8.54335E-19,
0.896358543,88.12436975,88.12436975,88.12436975,2.1009E-09,4.4138E-18,
1.120448179,87.85546218,87.85546218,87.85546218,4.8739E-09,2.37549E-17,
1.344537815,87.58655462,87.58655462,87.58655462,1.8487E-09,3.41771E-18,
1.568627451,87.31764706,87.31764706,87.31764706,1.1765E-09,1.38416E-18,
1.792717087,87.0487395,87.0487395,87.0487395,4.20169E-09,1.76542E-17,
2.016806723,86.79453782,86.79453782,86.79453782,4.874E-09,2.37558E-17,
2.240896359,86.72170868,86.72170868,86.72170868,3.47329E-09,1.20637E-17,
2.464985994,86.64887955,86.64887955,86.64887955,1.82069E-09,3.31493E-18,
2.68907563,86.57605042,86.57605042,86.57605042,1.68001E-10,2.82242E-20,
2.913165266,86.50322129,86.50322129,86.50322129,1.48459E-09,2.20402E-18,
3.137254902,86.43039216,86.43039216,86.43039216,3.1373E-09,9.84266E-18,
3.361344538,86.35756303,86.35756303,86.35756303,4.79E-09,2.29441E-17,
3.585434174,86.28473389,86.28473389,86.28473389,3.5574E-09,1.26551E-17,
3.80952381,86.21190476,86.21190476,86.21190476,1.90471E-09,3.62792E-18,
4.033613445,86.13907563,86.13907563,86.13907563,2.52101E-10,6.35547E-20,
4.257703081,86.0662465,86.0662465,86.0662465,1.40061E-09,1.9617E-18,
4.481792717,85.99341737,85.99341737,85.99341737,3.0533E-09,9.32265E-18,
4.705882353,85.92058824,85.92058824,85.92058824,4.7059E-09,2.21455E-17,
4.929971989,85.8477591,85.8477591,85.8477591,3.64139E-09,1.32597E-17,
5.154061625,85.77492997,85.77492997,85.77492997,1.98879E-09,3.95531E-18,
5.378151261,85.70210084,85.70210084,85.70210084,3.36101E-10,1.12964E-19,
5.602240896,85.62927171,85.62927171,85.62927171,1.31659E-09,1.73342E-18,
5.826330532,85.55644258,85.55644258,85.55644258,2.9692E-09,8.81616E-18,
6.050420168,85.49243697,85.49243697,85.49243697,4.7899E-09,2.29431E-17,
6.274509804,85.45882353,85.45882353,85.45882353,5.88301E-10,3.46098E-19,
6.49859944,85.42521008,85.42521008,85.42521008,4.03359E-09,1.62699E-17,
6.722689076,85.39159664,85.39159664,85.39159664,1.3446E-09,1.80796E-18,
6.946778711,85.35798319,85.35798319,85.35798319,3.27731E-09,1.07407E-17,
7.170868347,85.32436975,85.32436975,85.32436975,2.1009E-09,4.4138E-18,
7.394957983,85.2907563,85.2907563,85.2907563,2.52101E-09,6.35547E-18,
7.619047619,85.25714286,85.25714286,85.25714286,2.85721E-09,8.16363E-18,
7.843137255,85.22352941,85.22352941,85.22352941,1.7647E-09,3.11418E-18,
8.067226891,85.18991597,85.18991597,85.18991597,3.61351E-09,1.30574E-17,
8.291316527,85.15630252,85.15630252,85.15630252,1.0084E-09,1.01688E-18,
8.515406162,85.12268908,85.12268908,85.12268908,4.3698E-09,1.90951E-17,
8.739495798,85.08907563,85.08907563,85.08907563,2.52101E-10,6.35547E-20,
8.963585434,85.05546218,85.05546218,85.05546218,4.8739E-09,2.37549E-17,
9.18767507,85.02184874,85.02184874,85.02184874,5.04201E-10,2.54219E-19,
9.411764706,84.98823529,84.98823529,84.98823529,4.1176E-09,1.69546E-17,
9.635854342,84.95462185,84.95462185,84.95462185,1.2606E-09,1.58912E-18,
9.859943978,84.9210084,84.9210084,84.9210084,3.36129E-09,1.12983E-17,
10.08403361,84.88739496,84.88739496,84.88739496,2.01689E-09,4.06784E-18,
10.30812325,84.85378151,84.85378151,84.85378151,2.60499E-09,6.78598E-18,
10.53221289,84.82016807,84.82016807,84.82016807,2.77319E-09,7.69059E-18,
10.75630252,84.78655462,84.78655462,84.78655462,1.84869E-09,3.41766E-18,
10.98039216,84.75294118,84.75294118,84.75294118,3.52949E-09,1.24573E-17,
11.20448179,84.71932773,84.71932773,84.71932773,1.0924E-09,1.19334E-18,
11.42857143,84.68571429,84.68571429,84.68571429,4.28581E-09,1.83682E-17,
11.65266106,84.65210084,84.65210084,84.65210084,3.36101E-10,1.12964E-19,
11.8767507,84.61848739,84.61848739,84.61848739,4.9579E-09,2.45807E-17,
12.10084034,84.58487395,84.58487395,84.58487395,4.20201E-10,1.76569E-19,
12.32492997,84.5512605,84.5512605,84.5512605,4.2016E-09,1.76534E-17,
12.54901961,84.51764706,84.51764706,84.51764706,1.1765E-09,1.38416E-18,
12.77310924,84.48403361,84.48403361,84.48403361,3.44531E-09,1.18701E-17,
12.99719888,84.45042017,84.45042017,84.45042017,1.9328E-09,3.73573E-18,
13.22128852,84.41680672,84.41680672,84.41680672,2.68901E-09,7.23076E-18,
13.44537815,84.38319328,84.38319328,84.38319328,2.68911E-09,7.23129E-18,
13.66946779,84.34957983,84.34957983,84.34957983,1.9327E-09,3.73535E-18,
13.89355742,84.31596639,84.31596639,84.31596639,3.44539E-09,1.18707E-17,
14.11764706,84.27794118,84.27794118,84.27794118,3.52949E-09,1.24573E-17,
14.34173669,84.23592437,84.23592437,84.23592437,2.522E-10,6.36049E-20,
14.56582633,84.19390756,84.19390756,84.19390756,3.02521E-09,9.15188E-18,
14.78991597,84.15189076,84.15189076,84.15189076,3.69749E-09,1.36715E-17,
15.0140056,84.10987395,84.10987395,84.10987395,4.20201E-10,1.76569E-19,
15.23809524,84.06785714,84.06785714,84.06785714,2.85709E-09,8.16298E-18,
15.46218487,84.02584034,84.02584034,84.02584034,3.86561E-09,1.49429E-17,
15.68627451,83.98382353,83.98382353,83.98382353,5.88301E-10,3.46098E-19,
15.91036415,83.94180672,83.94180672,83.94180672,2.68899E-09,7.23068E-18,
16.13445378,83.89978992,83.89978992,83.89978992,4.03371E-09,1.62708E-17,
16.35854342,83.85777311,83.85777311,83.85777311,7.56302E-10,5.71992E-19,
16.58263305,83.8157563,83.8157563,83.8157563,2.52099E-09,6.3554E-18,
16.80672269,83.7737395,83.7737395,83.7737395,4.20171E-09,1.76544E-17,
17.03081232,83.73172269,83.73172269,83.73172269,9.24402E-10,8.54519E-19,
17.25490196,83.68970588,83.68970588,83.68970588,2.35289E-09,5.5361E-18,
17.4789916,83.64768908,83.64768908,83.64768908,4.36981E-09,1.90952E-17,
17.70308123,83.60567227,83.60567227,83.60567227,1.0925E-09,1.19356E-18,
17.92717087,83.56365546,83.56365546,83.56365546,2.18479E-09,4.77331E-18,
18.1512605,83.52163866,83.52163866,83.52163866,4.5379E-09,2.05925E-17,
18.37535014,83.47962185,83.47962185,83.47962185,1.2605E-09,1.58887E-18,
18.59943978,83.43760504,83.43760504,83.43760504,2.0168E-09,4.0675E-18,
18.82352941,83.39558824,83.39558824,83.39558824,4.7059E-09,2.21455E-17,
19.04761905,83.35357143,83.35357143,83.35357143,1.4286E-09,2.04091E-18,
19.27170868,83.31155462,83.31155462,83.31155462,1.8487E-09,3.41771E-18,
19.49579832,83.26953782,83.26953782,83.26953782,4.874E-09,2.37558E-17,
19.71988796,83.22752101,83.22752101,83.22752101,1.5967E-09,2.54946E-18,
19.94397759,83.1855042,83.1855042,83.1855042,1.6806E-09,2.82443E-18,
20.16806723,83.14348739,83.14348739,83.14348739,4.9579E-09,2.45807E-17,
20.39215686,83.10147059,83.10147059,83.10147059,1.7648E-09,3.11453E-18,
20.6162465,83.05945378,83.05945378,83.05945378,1.5126E-09,2.28797E-18,
20.84033613,83.01743697,83.01743697,83.01743697,4.7899E-09,2.29431E-17,
21.06442577,82.97542017,82.97542017,82.97542017,1.9328E-09,3.73573E-18,
21.28851541,82.93340336,82.93340336,82.93340336,1.3445E-09,1.80769E-18,
21.51260504,82.89138655,82.89138655,82.89138655,4.62181E-09,2.13611E-17,
21.73669468,82.84936975,82.84936975,82.84936975,2.10089E-09,4.41374E-18,
21.96078431,82.80735294,82.80735294,82.80735294,1.1764E-09,1.38392E-18,
22.18487395,82.74453782,82.74453782,82.74453782,4.87401E-09,2.3756E-17,
22.40896359,82.67731092,82.67731092,82.67731092,4.36971E-09,1.90944E-17,
22.63305322,82.61008403,82.61008403,82.61008403,3.61341E-09,1.30567E-17,
22.85714286,82.54285714,82.54285714,82.54285714,2.85711E-09,8.16306E-18,
23.08123249,82.47563025,82.47563025,82.47563025,2.1008E-09,4.41338E-18,
23.30532213,82.40840336,82.40840336,82.40840336,1.3445E-09,1.80769E-18,
23.52941176,82.34117647,82.34117647,82.34117647,5.88201E-10,3.45981E-19,
23.7535014,82.27394958,82.27394958,82.27394958,1.68086E-10,2.82529E-20,
23.97759104,82.20672269,82.20672269,82.20672269,9.24402E-10,8.54519E-19,
24.20168067,82.1394958,82.1394958,82.1394958,1.6807E-09,2.82476E-18,
24.42577031,82.07226891,82.07226891,82.07226891,2.43701E-09,5.93899E-18,
24.64985994,82.00504202,82.00504202,82.00504202,3.19331E-09,1.01972E-17,
24.87394958,81.93781513,81.93781513,81.93781513,3.94961E-09,1.55994E-17,
25.09803922,81.87058824,81.87058824,81.87058824,4.70591E-09,2.21456E-17,
25.32212885,81.80336134,81.80336134,81.80336134,4.53781E-09,2.05917E-17,
25.54621849,81.73613445,81.73613445,81.73613445,3.78151E-09,1.42998E-17,
25.77030812,81.66890756,81.66890756,81.66890756,3.02521E-09,9.15188E-18,
