Ageing Time,C3,C3 (Pred)*,C3 (True),AE,SE,RMSE
0,91.1,91.1,91.1,0,0,
0.224089636,90.87591036,90.87591036,90.87591036,0,0,
0.448179272,90.65182073,90.65182073,90.65182073,0,0,
0.672268908,90.42773109,90.42773109,90.42773109,0,0,
0.896358543,90.20364146,90.20364146,90.20364146,0,0,
1.120448179,89.97955182,89.97955182,89.97955182,0,0,
1.344537815,89.75546218,89.75546218,89.75546218,0,0,
1.568627451,89.53137255,89.53137255,89.53137255,0,0,
1.792717087,89.30728291,89.30728291,89.30728291,0,0,
2.016806723,89.09411765,89.09411765,89.09411765,0,0,
2.240896359,89.01568627,89.01568627,89.01568627,0,0,
2.464985994,88.9372549,88.9372549,88.9372549,0,0,
2.68907563,88.85882353,88.85882353,88.85882353,0,0,
2.913165266,88.78039216,88.78039216,88.78039216,0,0,
3.137254902,88.70196078,88.70196078,88.70196078,0,0,
3.361344538,88.62352941,88.62352941,88.62352941,0,0,
3.585434174,88.54509804,88.54509804,88.54509804,0,0,
3.80952381,88.46666667,88.46666667,88.46666667,0,0,
4.033613445,88.38823529,88.38823529,88.38823529,0,0,
4.257703081,88.30980392,88.30980392,88.30980392,0,0,
4.481792717,88.23137255,88.23137255,88.23137255,0,0,
4.705882353,88.15294118,88.15294118,88.15294118,0,0,
4.929971989,88.0745098,88.0745098,88.0745098,0,0,
5.154061625,87.99607843,87.99607843,87.99607843,0,0,
5.378151261,87.91764706,87.91764706,87.91764706,0,0,
5.602240896,87.83921569,87.83921569,87.83921569,0,0,
5.826330532,87.76078431,87.76078431,87.76078431,0,0,
6.050420168,87.69180672,87.69180672,87.69180672,0,0,
6.274509804,87.65539216,87.65539216,87.65539216,0,0,
6.49859944,87.61897759,87.61897759,87.61897759,0,0,
6.722689076,87.58256303,87.58256303,87.58256303,0,0,
6.946778711,87.54614846,87.54614846,87.54614846,0,0,
7.170868347,87.50973389,87.50973389,87.50973389,0,0,
7.394957983,87.47331933,87.47331933,87.47331933,0,0,
7.619047619,87.43690476,87.43690476,87.43690476,0,0,
7.843137255,87.4004902,87.4004902,87.4004902,0,0,
8.067226891,87.36407563,87.36407563,87.36407563,0,0,
8.291316527,87.32766106,87.32766106,87.32766106,0,0,
8.515406162,87.2912465,87.2912465,87.2912465,0,0,
8.739495798,87.25483193,87.25483193,87.25483193,0,0,
8.963585434,87.21841737,87.21841737,87.21841737,0,0,
9.18767507,87.1820028,87.1820028,87.1820028,0,0,
9.411764706,87.14558824,87.14558824,87.14558824,0,0,
9.635854342,87.10917367,87.10917367,87.10917367,0,0,
9.859943978,87.0727591,87.0727591,87.0727591,0,0,
10.08403361,87.03634454,87.03634454,87.03634454,0,0,
10.30812325,86.99992997,86.99992997,86.99992997,0,0,
10.53221289,86.96351541,86.96351541,86.96351541,0,0,
10.75630252,86.92710084,86.92710084,86.92710084,0,0,
10.98039216,86.89068627,86.89068627,86.89068627,0,0,
11.20448179,86.85427171,86.85427171,86.85427171,0,0,
11.42857143,86.81785714,86.81785714,86.81785714,0,0,
11.65266106,86.78144258,86.78144258,86.78144258,0,0,
11.8767507,86.74502801,86.74502801,86.74502801,0,0,
12.10084034,86.70861345,86.70861345,86.70861345,0,0,
12.32492997,86.67219888,86.67219888,86.67219888,0,0,
12.54901961,86.63578431,86.63578431,86.63578431,0,0,
12.77310924,86.59936975,86.59936975,86.59936975,0,0,
12.99719888,86.56295518,86.56295518,86.56295518,0,0,
13.22128852,86.52654062,86.52654062,86.52654062,0,0,
13.44537815,86.49012605,86.49012605,86.49012605,0,0,
13.66946779,86.45371148,86.45371148,86.45371148,0,0,
13.89355742,86.41729692,86.41729692,86.41729692,0,0,
14.11764706,86.39705882,86.39705882,86.39705882,0,0,
14.34173669,86.39145658,86.39145658,86.39145658,0,0,
14.56582633,86.38585434,86.38585434,86.38585434,0,0,
14.78991597,86.3802521,86.3802521,86.3802521,0,0,
15.0140056,86.37464986,86.37464986,86.37464986,0,0,
15.23809524,86.36904762,86.36904762,86.36904762,0,0,
15.46218487,86.36344538,86.36344538,86.36344538,0,0,
15.68627451,86.35784314,86.35784314,86.35784314,0,0,
15.91036415,86.3522409,86.3522409,86.3522409,0,0,
16.13445378,86.34663866,86.34663866,86.34663866,0,0,
16.35854342,86.34103641,86.34103641,86.34103641,0,0,
16.58263305,86.33543417,86.33543417,86.33543417,0,0,
16.80672269,86.32983193,86.32983193,86.32983193,0,0,
17.03081232,86.32422969,86.32422969,86.32422969,0,0,
17.25490196,86.31862745,86.31862745,86.31862745,0,0,
17.4789916,86.31302521,86.31302521,86.31302521,0,0,
17.70308123,86.30742297,86.30742297,86.30742297,0,0,
17.92717087,86.30182073,86.30182073,86.30182073,0,0,
18.1512605,86.29621849,86.29621849,86.29621849,0,0,
18.37535014,86.29061625,86.29061625,86.29061625,0,0,
18.59943978,86.28501401,86.28501401,86.28501401,0,0,
18.82352941,86.27941176,86.27941176,86.27941176,0,0,
19.04761905,86.27380952,86.27380952,86.27380952,0,0,
19.27170868,86.26820728,86.26820728,86.26820728,0,0,
19.49579832,86.26260504,86.26260504,86.26260504,0,0,
19.71988796,86.2570028,86.2570028,86.2570028,0,0,
19.94397759,86.25140056,86.25140056,86.25140056,0,0,
20.16806723,86.24579832,86.24579832,86.24579832,0,0,
20.39215686,86.24019608,86.24019608,86.24019608,0,0,
20.6162465,86.23459384,86.23459384,86.23459384,0,0,
20.84033613,86.2289916,86.2289916,86.2289916,0,0,
21.06442577,86.22338936,86.22338936,86.22338936,0,0,
21.28851541,86.21778711,86.21778711,86.21778711,0,0,
21.51260504,86.21218487,86.21218487,86.21218487,0,0,
21.73669468,86.20658263,86.20658263,86.20658263,0,0,
21.96078431,86.20098039,86.20098039,86.20098039,0,0,
22.18487395,86.17920168,86.17920168,86.17920168,0,0,
22.40896359,86.1539916,86.1539916,86.1539916,0,0,
22.63305322,86.12878151,86.12878151,86.12878151,0,0,
22.85714286,86.10357143,86.10357143,86.10357143,0,0,
23.08123249,86.07836134,86.07836134,86.07836134,0,0,
23.30532213,86.05315126,86.05315126,86.05315126,0,0,
23.52941176,86.02794118,86.02794118,86.02794118,0,0,
23.7535014,86.00273109,86.00273109,86.00273109,0,0,
23.97759104,85.97752101,85.97752101,85.97752101,0,0,
24.20168067,85.95231092,85.95231092,85.95231092,0,0,
24.42577031,85.92710084,85.92710084,85.92710084,0,0,
24.64985994,85.90189076,85.90189076,85.90189076,0,0,
24.87394958,85.87668067,85.87668067,85.87668067,0,0,
25.09803922,85.85147059,85.85147059,85.85147059,0,0,
25.32212885,85.8262605,85.8262605,85.8262605,0,0,
25.54621849,85.80105042,85.80105042,85.80105042,0,0,
25.77030812,85.77584034,85.77584034,85.77584034,0,0,
25.99439776,85.75063025,85.75063025,85.75063025,0,0,
26.21848739,85.72542017,85.72542017,85.72542017,0,0,
26.44257703,85.70021008,85.70021008,85.70021008,0,0,
26.66666667,85.675,85.675,85.675,0,0,
26.8907563,85.64978992,85.64978992,85.64978992,0,0,
27.11484594,85.62457983,85.62457983,85.62457983,0,0,
27.33893557,85.59936975,85.59936975,85.59936975,0,0,
27.56302521,85.57415966,85.57415966,85.57415966,0,0,
27.78711485,85.54894958,85.54894958,85.54894958,0,0,
28.01120448,85.5237395,85.5237395,85.5237395,0,0,
28.23529412,85.49852941,85.49852941,85.49852941,0,0,
28.45938375,85.47331933,85.47331933,85.47331933,0,0,
28.68347339,85.44810924,85.44810924,85.44810924,0,0,
28.90756303,85.42289916,85.42289916,85.42289916,0,0,
29.13165266,85.39768908,85.39768908,85.39768908,0,0,
29.3557423,85.37247899,85.37247899,85.37247899,0,0,
29.57983193,85.34726891,85.34726891,85.34726891,0,0,
29.80392157,85.32205882,85.32205882,85.32205882,0,0,
30.0280112,85.29754902,85.29754902,85.29754902,0,0,
30.25210084,85.27794118,85.27794118,85.27794118,0,0,
30.47619048,85.25833333,85.25833333,85.25833333,0,0,
30.70028011,85.23872549,85.23872549,85.23872549,0,0,
30.92436975,85.21911765,85.21911765,85.21911765,0,0,
31.14845938,85.1995098,85.1995098,85.1995098,0,0,
31.37254902,85.17990196,85.17990196,85.17990196,0,0,
31.59663866,85.16029412,85.16029412,85.16029412,0,0,
31.82072829,85.14068627,85.14068627,85.14068627,0,0,
32.04481793,85.12107843,85.12107843,85.12107843,0,0,
32.26890756,85.10147059,85.10147059,85.10147059,0,0,
32.4929972,85.08186275,85.08186275,85.08186275,0,0,
32.71708683,85.0622549,85.0622549,85.0622549,0,0,
32.94117647,85.04264706,85.04264706,85.04264706,0,0,
33.16526611,85.02303922,85.02303922,85.02303922,0,0,
33.38935574,85.00343137,85.00343137,85.00343137,0,0,
33.61344538,84.98382353,84.98382353,84.98382353,0,0,
33.83753501,84.96421569,84.96421569,84.96421569,0,0,
34.06162465,84.94460784,84.94460784,84.94460784,0,0,
34.28571429,84.925,84.925,84.925,0,0,
34.50980392,84.90539216,84.90539216,84.90539216,0,0,
34.73389356,84.88578431,84.88578431,84.88578431,0,0,
34.95798319,84.86617647,84.86617647,84.86617647,0,0,
35.18207283,84.84656863,84.84656863,84.84656863,0,0,
35.40616246,84.82696078,84.82696078,84.82696078,0,0,
35.6302521,84.80735294,84.80735294,84.80735294,0,0,
35.85434174,84.7877451,84.7877451,84.7877451,0,0,
36.07843137,84.76813725,84.76813725,84.76813725,0,0,
36.30252101,84.74852941,84.74852941,84.74852941,0,0,
36.52661064,84.72892157,84.72892157,84.72892157,0,0,
36.75070028,84.70931373,84.70931373,84.70931373,0,0,
36.97478992,84.68970588,84.68970588,84.68970588,0,0,
37.19887955,84.67009804,84.67009804,84.67009804,0,0,
37.42296919,84.6504902,84.6504902,84.6504902,0,0,
37.64705882,84.63088235,84.63088235,84.63088235,0,0,
37.87114846,84.61127451,84.61127451,84.61127451,0,0,
38.0952381,84.59166667,84.59166667,84.59166667,0,0,
38.31932773,84.57205882,84.57205882,84.57205882,0,0,
38.54341737,84.55245098,84.55245098,84.55245098,0,0,
38.767507,84.53284314,84.53284314,84.53284314,0,0,
38.99159664,84.51323529,84.51323529,84.51323529,0,0,
39.21568627,84.49362745,84.49362745,84.49362745,0,0,
39.43977591,84.47401961,84.47401961,84.47401961,0,0,
39.66386555,84.45441176,84.45441176,84.45441176,0,0,
39.88795518,84.43480392,84.43480392,84.43480392,0,0,
40.11204482,84.41519608,84.41519608,84.41519608,0,0,
40.33613445,84.39558824,84.39558824,84.39558824,0,0,
40.56022409,84.37598039,84.37598039,84.37598039,0,0,
40.78431373,84.35637255,84.35637255,84.35637255,0,0,
41.00840336,84.33676471,84.33676471,84.33676471,0,0,
41.232493,84.31715686,84.31715686,84.31715686,0,0,
41.45658263,84.29754902,84.29754902,84.29754902,0,0,
41.68067227,84.27794118,84.27794118,84.27794118,0,0,
41.9047619,84.25833333,84.25833333,84.25833333,0,0,
42.12885154,84.23872549,84.23872549,84.23872549,0,0,
42.35294118,84.21911765,84.21911765,84.21911765,0,0,
42.57703081,84.1995098,84.1995098,84.1995098,0,0,
42.80112045,84.17990196,84.17990196,84.17990196,0,0,
43.02521008,84.16029412,84.16029412,84.16029412,0,0,
43.24929972,84.14068627,84.14068627,84.14068627,0,0,
43.47338936,84.12107843,84.12107843,84.12107843,0,0,
43.69747899,84.10147059,84.10147059,84.10147059,0,0,
43.92156863,84.08186275,84.08186275,84.08186275,0,0,
44.14565826,84.0622549,84.0622549,84.0622549,0,0,
44.3697479,84.04264706,84.04264706,84.04264706,0,0,
44.59383754,84.02303922,84.02303922,84.02303922,0,0,
44.81792717,84.00343137,84.00343137,84.00343137,0,0,
45.04201681,83.98382353,83.98382353,83.98382353,0,0,
45.26610644,83.96421569,83.96421569,83.96421569,0,0,
45.49019608,83.94460784,83.94460784,83.94460784,0,0,
45.71428571,83.925,83.925,83.925,0,0,
45.93837535,83.90539216,83.90539216,83.90539216,0,0,
46.16246499,83.89187675,83.89187675,83.89187675,0,0,
46.38655462,83.88067227,83.88067227,83.88067227,0,0,
46.61064426,83.86946779,83.86946779,83.86946779,0,0,
46.83473389,83.85826331,83.85826331,83.85826331,0,0,
47.05882353,83.84705882,83.84705882,83.84705882,0,0,
47.28291317,83.83585434,83.83585434,83.83585434,0,0,
47.5070028,83.82464986,83.82464986,83.82464986,0,0,
47.73109244,83.81344538,83.81344538,83.81344538,0,0,
47.95518207,83.8022409,83.8022409,83.8022409,0,0,
48.17927171,83.79103641,83.79103641,83.79103641,0,0,
48.40336134,83.77983193,83.77983193,83.77983193,0,0,
48.62745098,83.76862745,83.76862745,83.76862745,0,0,
48.85154062,83.75742297,83.75742297,83.75742297,0,0,
49.07563025,83.74621849,83.74621849,83.74621849,0,0,
49.29971989,83.73501401,83.73501401,83.73501401,0,0,
49.52380952,83.72380952,83.72380952,83.72380952,0,0,
49.74789916,83.71260504,83.71260504,83.71260504,0,0,
49.9719888,83.70140056,83.70140056,83.70140056,0,0,
50.19607843,83.69019608,83.69019608,83.69019608,0,0,
50.42016807,83.6789916,83.6789916,83.6789916,0,0,
50.6442577,83.66778711,83.66778711,83.66778711,0,0,
50.86834734,83.65658263,83.65658263,83.65658263,0,0,
51.09243697,83.64537815,83.64537815,83.64537815,0,0,
51.31652661,83.63417367,83.63417367,83.63417367,0,0,
51.54061625,83.62296919,83.62296919,83.62296919,0,0,
51.76470588,83.61176471,83.61176471,83.61176471,0,0,
51.98879552,83.60056022,83.60056022,83.60056022,0,0,
52.21288515,83.58935574,83.58935574,83.58935574,0,0,
52.43697479,83.57815126,83.57815126,83.57815126,0,0,
52.66106443,83.56694678,83.56694678,83.56694678,0,0,
52.88515406,83.5557423,83.5557423,83.5557423,0,0,
53.1092437,83.54453782,83.54453782,83.54453782,0,0,
53.33333333,83.53333333,83.53333333,83.53333333,0,0,
53.55742297,83.52212885,83.52212885,83.52212885,0,0,
53.78151261,83.51092437,83.51092437,83.51092437,0,0,
54.00560224,83.49971989,83.49971989,83.49971989,0,0,
54.22969188,83.48851541,83.48851541,83.48851541,0,0,
54.45378151,83.47731092,83.47731092,83.47731092,0,0,
54.67787115,83.46610644,83.46610644,83.46610644,0,0,
54.90196078,83.45490196,83.45490196,83.45490196,0,0,
55.12605042,83.44369748,83.44369748,83.44369748,0,0,
55.35014006,83.432493,83.432493,83.432493,0,0,
55.57422969,83.42128852,83.42128852,83.42128852,0,0,
55.79831933,83.41008403,83.41008403,83.41008403,0,0,
56.02240896,83.39887955,83.39887955,83.39887955,0,0,
56.2464986,83.38767507,83.38767507,83.38767507,0,0,
56.47058824,83.37647059,83.37647059,83.37647059,0,0,
56.69467787,83.36526611,83.36526611,83.36526611,0,0,
56.91876751,83.35406162,83.35406162,83.35406162,0,0,
57.14285714,83.34285714,83.34285714,83.34285714,0,0,
57.36694678,83.33165266,83.33165266,83.33165266,0,0,
57.59103641,83.32044818,83.32044818,83.32044818,0,0,
57.81512605,83.3092437,83.3092437,83.3092437,0,0,
58.03921569,83.29803922,83.29803922,83.29803922,0,0,
58.26330532,83.28683473,83.28683473,83.28683473,0,0,
58.48739496,83.27563025,83.27563025,83.27563025,0,0,
58.71148459,83.26442577,83.26442577,83.26442577,0,0,
58.93557423,83.25322129,83.25322129,83.25322129,0,0,
59.15966387,83.24201681,83.24201681,83.24201681,0,0,
59.3837535,83.23081232,83.23081232,83.23081232,0,0,
59.60784314,83.21960784,83.21960784,83.21960784,0,0,
59.83193277,83.20840336,83.20840336,83.20840336,0,0,
60.05602241,83.19719888,83.19719888,83.19719888,0,0,
60.28011204,83.1859944,83.1859944,83.1859944,0,0,
60.50420168,83.17478992,83.17478992,83.17478992,0,0,
60.72829132,83.16358543,83.16358543,83.16358543,0,0,
60.95238095,83.15238095,83.15238095,83.15238095,0,0,
61.17647059,83.14117647,83.14117647,83.14117647,0,0,
61.40056022,83.12997199,83.12997199,83.12997199,0,0,
61.62464986,83.11876751,83.11876751,83.11876751,0,0,
61.8487395,83.10756303,83.10756303,83.10756303,0,0,
62.07282913,83.09635854,83.09635854,83.09635854,0,0,
62.29691877,83.08515406,83.08515406,83.08515406,0,0,
62.5210084,83.07394958,83.07394958,83.07394958,0,0,
62.74509804,83.0627451,83.0627451,83.0627451,0,0,
62.96918768,83.05154062,83.05154062,83.05154062,0,0,
63.19327731,83.04033613,83.04033613,83.04033613,0,0,
63.41736695,83.02913165,83.02913165,83.02913165,0,0,
63.64145658,83.01792717,83.01792717,83.01792717,0,0,
63.86554622,83.00672269,83.00672269,83.00672269,0,0,
64.08963585,82.99551821,82.99551821,82.99551821,0,0,
64.31372549,82.98431373,82.98431373,82.98431373,0,0,
64.53781513,82.97310924,82.97310924,82.97310924,0,0,
64.76190476,82.96190476,82.96190476,82.96190476,0,0,
64.9859944,82.95070028,82.95070028,82.95070028,0,0,
65.21008403,82.9394958,82.9394958,82.9394958,0,0,
65.43417367,82.92829132,82.92829132,82.92829132,0,0,
65.65826331,82.91708683,82.91708683,82.91708683,0,0,
65.88235294,82.90588235,82.90588235,82.90588235,0,0,
66.10644258,82.89467787,82.89467787,82.89467787,0,0,
66.33053221,82.88347339,82.88347339,82.88347339,0,0,
66.55462185,82.87226891,82.87226891,82.87226891,0,0,
66.77871148,82.86106443,82.86106443,82.86106443,0,0,
67.00280112,82.84985994,82.84985994,82.84985994,0,0,
