Ageing Time,C6 (Pred),C6 (Pred)*,C6 (True),AE,SE,RMSE
0,84.6,84.6,84.6,0,0,
0.224089636,84.43193277,84.43193277,84.43193277,3.10919E-09,9.66708E-18,
0.448179272,84.26386555,84.26386555,84.26386555,3.78161E-09,1.43006E-17,
0.672268908,84.09579832,84.09579832,84.09579832,6.72301E-10,4.51989E-19,
0.896358543,83.92773109,83.92773109,83.92773109,2.43691E-09,5.93851E-18,
1.120448179,83.75966387,83.75966387,83.75966387,4.4538E-09,1.98363E-17,
1.344537815,83.59159664,83.59159664,83.59159664,1.3446E-09,1.80796E-18,
1.568627451,83.42352941,83.42352941,83.42352941,1.7647E-09,3.11418E-18,
1.792717087,83.25546218,83.25546218,83.25546218,4.87391E-09,2.3755E-17,
2.016806723,83.09243697,83.09243697,83.09243697,4.78991E-09,2.29432E-17,
2.240896359,82.99159664,82.99159664,82.99159664,1.3446E-09,1.80796E-18,
2.464985994,82.8907563,82.8907563,82.8907563,2.52099E-09,6.3554E-18,
2.68907563,82.78991597,82.78991597,82.78991597,3.61349E-09,1.30573E-17,
2.913165266,82.68907563,82.68907563,82.68907563,2.52001E-10,6.35045E-20,
3.137254902,82.58823529,82.58823529,82.58823529,4.1176E-09,1.69546E-17,
3.361344538,82.48739496,82.48739496,82.48739496,2.0169E-09,4.0679E-18,
3.585434174,82.38655462,82.38655462,82.38655462,1.8487E-09,3.41771E-18,
3.80952381,82.28571429,82.28571429,82.28571429,4.28579E-09,1.8368E-17,
4.033613445,82.18487395,82.18487395,82.18487395,4.20201E-10,1.76569E-19,
4.257703081,82.08403361,82.08403361,82.08403361,3.44529E-09,1.187E-17,
4.481792717,81.98319328,81.98319328,81.98319328,2.68909E-09,7.23121E-18,
4.705882353,81.88235294,81.88235294,81.88235294,1.1764E-09,1.38392E-18,
4.929971989,81.78151261,81.78151261,81.78151261,4.958E-09,2.45817E-17,
5.154061625,81.68067227,81.68067227,81.68067227,1.0925E-09,1.19356E-18,
5.378151261,81.57983193,81.57983193,81.57983193,2.77311E-09,7.69012E-18,
5.602240896,81.4789916,81.4789916,81.4789916,3.36141E-09,1.12991E-17,
5.826330532,81.37815126,81.37815126,81.37815126,5.04201E-10,2.54219E-19,
6.050420168,81.29243697,81.29243697,81.29243697,4.7899E-09,2.29431E-17,
6.274509804,81.25882353,81.25882353,81.25882353,5.88301E-10,3.46098E-19,
6.49859944,81.22521008,81.22521008,81.22521008,4.03361E-09,1.627E-17,
6.722689076,81.19159664,81.19159664,81.19159664,1.3446E-09,1.80796E-18,
6.946778711,81.15798319,81.15798319,81.15798319,3.27731E-09,1.07407E-17,
