Ageing Time,C6
0,84.6
0.224089636,84.43193277
0.448179272,84.26386555
0.672268908,84.09579832
0.896358543,83.92773109
1.120448179,83.75966387
1.344537815,83.59159664
1.568627451,83.42352941
1.792717087,83.25546218
2.016806723,83.09243697
2.240896359,82.99159664
2.464985994,82.8907563
2.68907563,82.78991597
2.913165266,82.68907563
3.137254902,82.58823529
3.361344538,82.48739496
3.585434174,82.38655462
3.80952381,82.28571429
4.033613445,82.18487395
4.257703081,82.08403361
4.481792717,81.98319328
4.705882353,81.88235294
4.929971989,81.78151261
5.154061625,81.68067227
5.378151261,81.57983193
5.602240896,81.4789916
5.826330532,81.37815126
6.050420168,81.29243697
6.274509804,81.25882353
6.49859944,81.22521008
6.722689076,81.19159664
6.946778711,81.15798319
7.170868347,81.12436975
7.394957983,81.0907563
7.619047619,81.05714286
7.843137255,81.02352941
8.067226891,80.98991597
8.291316527,80.95630252
8.515406162,80.92268908
8.739495798,80.88907563
8.963585434,80.85546218
9.18767507,80.82184874
9.411764706,80.78823529
9.635854342,80.75462185
9.859943978,80.7210084
10.08403361,80.68739496
10.30812325,80.65378151
10.53221289,80.62016807
10.75630252,80.58655462
10.98039216,80.55294118
11.20448179,80.51932773
11.42857143,80.48571429
11.65266106,80.45210084
11.8767507,80.41848739
12.10084034,80.38487395
12.32492997,80.3512605
12.54901961,80.31764706
12.77310924,80.28403361
12.99719888,80.25042017
13.22128852,80.21680672
13.44537815,80.18319328
13.66946779,80.14957983
13.89355742,80.11596639
14.11764706,80.08088235
14.34173669,80.04446779
14.56582633,80.00805322
14.78991597,79.97163866
15.0140056,79.93522409
15.23809524,79.89880952
15.46218487,79.86239496
15.68627451,79.82598039
15.91036415,79.78956583
16.13445378,79.75315126
16.35854342,79.71673669
16.58263305,79.68032213
16.80672269,79.64390756
17.03081232,79.607493
17.25490196,79.57107843
17.4789916,79.53466387
17.70308123,79.4982493
17.92717087,79.46183473
18.1512605,79.42542017
18.37535014,79.3890056
18.59943978,79.35259104
18.82352941,79.31617647
19.04761905,79.2797619
19.27170868,79.24334734
19.49579832,79.20693277
19.71988796,79.17051821
19.94397759,79.13410364
20.16806723,79.09768908
20.39215686,79.06127451
20.6162465,79.02485994
20.84033613,78.98844538
21.06442577,78.95203081
21.28851541,78.91561625
21.51260504,78.87920168
21.73669468,78.84278711
21.96078431,78.80637255
22.18487395,78.75609244
22.40896359,78.70287115
22.63305322,78.64964986
22.85714286,78.59642857
23.08123249,78.54320728
23.30532213,78.48998599
23.52941176,78.43676471
23.7535014,78.38354342
23.97759104,78.33032213
24.20168067,78.27710084
24.42577031,78.22387955
24.64985994,78.17065826
24.87394958,78.11743697
25.09803922,78.06421569
25.32212885,78.0109944
25.54621849,77.95777311
25.77030812,77.90455182
25.99439776,77.85133053
26.21848739,77.79810924
26.44257703,77.74488796
26.66666667,77.69166667
26.8907563,77.63844538
27.11484594,77.58522409
27.33893557,77.5320028
27.56302521,77.47878151
27.78711485,77.42556022
28.01120448,77.37233894
28.23529412,77.31911765
28.45938375,77.26589636
28.68347339,77.21267507
28.90756303,77.15945378
29.13165266,77.10623249
29.3557423,77.0530112
29.57983193,76.99978992
29.80392157,76.94656863
30.0280112,76.89702381
30.25210084,76.87321429
30.47619048,76.84940476
30.70028011,76.82559524
30.92436975,76.80178571
31.14845938,76.77797619
31.37254902,76.75416667
31.59663866,76.73035714
31.82072829,76.70654762
32.04481793,76.6827381
32.26890756,76.65892857
32.4929972,76.63511905
32.71708683,76.61130952
32.94117647,76.5875
33.16526611,76.56369048
33.38935574,76.53988095
33.61344538,76.51607143
33.83753501,76.4922619
34.06162465,76.46845238
34.28571429,76.44464286
34.50980392,76.42083333
34.73389356,76.39702381
34.95798319,76.37321429
35.18207283,76.34940476
35.40616246,76.32559524
35.6302521,76.30178571
35.85434174,76.27797619
36.07843137,76.25416667
36.30252101,76.23035714
36.52661064,76.20654762
36.75070028,76.1827381
36.97478992,76.15892857
37.19887955,76.13511905
37.42296919,76.11130952
37.64705882,76.0875
37.87114846,76.06369048
38.0952381,76.03988095
38.31932773,76.01607143
38.54341737,75.9922619
38.767507,75.96845238
38.99159664,75.94464286
39.21568627,75.92083333
39.43977591,75.89702381
39.66386555,75.87321429
39.88795518,75.84940476
40.11204482,75.82559524
40.33613445,75.80178571
40.56022409,75.77797619
40.78431373,75.75416667
41.00840336,75.73035714
41.232493,75.70654762
41.45658263,75.6827381
41.68067227,75.65892857
41.9047619,75.63511905
42.12885154,75.61130952
42.35294118,75.5875
42.57703081,75.56369048
42.80112045,75.53988095
43.02521008,75.51607143
43.24929972,75.4922619
43.47338936,75.46845238
43.69747899,75.44464286
43.92156863,75.42083333
44.14565826,75.39702381
44.3697479,75.37321429
44.59383754,75.34940476
44.81792717,75.32559524
45.04201681,75.30178571
45.26610644,75.27797619
45.49019608,75.25416667
45.71428571,75.23035714
45.93837535,75.20654762
46.16246499,75.18307656
46.38655462,75.15973389
46.61064426,75.13639122
46.83473389,75.11304855
47.05882353,75.08970588
47.28291317,75.06636321
47.5070028,75.04302054
47.73109244,75.01967787
47.95518207,74.9963352
48.17927171,74.97299253
48.40336134,74.94964986
48.62745098,74.92630719
48.85154062,74.90296452
49.07563025,74.87962185
49.29971989,74.85627918
49.52380952,74.83293651
49.74789916,74.80959384
49.9719888,74.78625117
50.19607843,74.7629085
50.42016807,74.73956583
50.6442577,74.71622316
50.86834734,74.69288049
51.09243697,74.66953782
51.31652661,74.64619514
51.54061625,74.62285247
51.76470588,74.5995098
51.98879552,74.57616713
52.21288515,74.55282446
52.43697479,74.52948179
52.66106443,74.50613912
52.88515406,74.48279645
53.1092437,74.45945378
53.33333333,74.43611111
53.55742297,74.41276844
53.78151261,74.38942577
54.00560224,74.3660831
54.22969188,74.34274043
54.45378151,74.31939776
54.67787115,74.29605509
54.90196078,74.27271242
55.12605042,74.24936975
55.35014006,74.22602708
55.57422969,74.20268441
55.79831933,74.17934174
56.02240896,74.15599907
56.2464986,74.1326564
