Ageing Time,C2 (Pred),C2 (Pred)*,C2 (True),AE,SE,RMSE
0,90.5,90.5,90.5,0,0,
0.224089636,90.27591036,90.27591036,90.27591036,0,0,
0.448179272,90.05182073,90.05182073,90.05182073,0,0,
0.672268908,89.82773109,89.82773109,89.82773109,0,0,
0.896358543,89.60364146,89.60364146,89.60364146,0,0,
1.120448179,89.37955182,89.37955182,89.37955182,0,0,
1.344537815,89.15546218,89.15546218,89.15546218,0,0,
1.568627451,88.93137255,88.93137255,88.93137255,0,0,
1.792717087,88.70728291,88.70728291,88.70728291,0,0,
2.016806723,88.49495798,88.49495798,88.49495798,0,0,
2.240896359,88.42773109,88.42773109,88.42773109,0,0,
2.464985994,88.3605042,88.3605042,88.3605042,0,0,
2.68907563,88.29327731,88.29327731,88.29327731,0,0,
2.913165266,88.22605042,88.22605042,88.22605042,0,0,
3.137254902,88.15882353,88.15882353,88.15882353,0,0,
3.361344538,88.09159664,88.09159664,88.09159664,0,0,
3.585434174,88.02436975,88.02436975,88.02436975,0,0,
3.80952381,87.95714286,87.95714286,87.95714286,0,0,
4.033613445,87.88991597,87.88991597,87.88991597,0,0,
4.257703081,87.82268908,87.82268908,87.82268908,0,0,
4.481792717,87.75546218,87.75546218,87.75546218,0,0,
4.705882353,87.68823529,87.68823529,87.68823529,0,0,
4.929971989,87.6210084,87.6210084,87.6210084,0,0,
5.154061625,87.55378151,87.55378151,87.55378151,0,0,
5.378151261,87.48655462,87.48655462,87.48655462,0,0,
5.602240896,87.41932773,87.41932773,87.41932773,0,0,
5.826330532,87.35210084,87.35210084,87.35210084,0,0,
6.050420168,87.29369748,87.29369748,87.29369748,0,0,
6.274509804,87.26568627,87.26568627,87.26568627,0,0,
6.49859944,87.23767507,87.23767507,87.23767507,0,0,
6.722689076,87.20966387,87.20966387,87.20966387,0,0,
6.946778711,87.18165266,87.18165266,87.18165266,0,0,
7.170868347,87.15364146,87.15364146,87.15364146,0,0,
7.394957983,87.12563025,87.12563025,87.12563025,0,0,
7.619047619,87.09761905,87.09761905,87.09761905,0,0,
7.843137255,87.06960784,87.06960784,87.06960784,0,0,
8.067226891,87.04159664,87.04159664,87.04159664,0,0,
8.291316527,87.01358543,87.01358543,87.01358543,0,0,
8.515406162,86.98557423,86.98557423,86.98557423,0,0,
8.739495798,86.95756303,86.95756303,86.95756303,0,0,
8.963585434,86.92955182,86.92955182,86.92955182,0,0,
9.18767507,86.90154062,86.90154062,86.90154062,0,0,
9.411764706,86.87352941,86.87352941,86.87352941,0,0,
9.635854342,86.84551821,86.84551821,86.84551821,0,0,
9.859943978,86.817507,86.817507,86.817507,0,0,
10.08403361,86.7894958,86.7894958,86.7894958,0,0,
10.30812325,86.76148459,86.76148459,86.76148459,0,0,
10.53221289,86.73347339,86.73347339,86.73347339,0,0,
10.75630252,86.70546218,86.70546218,86.70546218,0,0,
10.98039216,86.67745098,86.67745098,86.67745098,0,0,
11.20448179,86.64943978,86.64943978,86.64943978,0,0,
11.42857143,86.62142857,86.62142857,86.62142857,0,0,
11.65266106,86.59341737,86.59341737,86.59341737,0,0,
11.8767507,86.56540616,86.56540616,86.56540616,0,0,
12.10084034,86.53739496,86.53739496,86.53739496,0,0,
12.32492997,86.50938375,86.50938375,86.50938375,0,0,
12.54901961,86.48137255,86.48137255,86.48137255,0,0,
12.77310924,86.45336134,86.45336134,86.45336134,0,0,
12.99719888,86.42535014,86.42535014,86.42535014,0,0,
13.22128852,86.39733894,86.39733894,86.39733894,0,0,
13.44537815,86.36932773,86.36932773,86.36932773,0,0,
13.66946779,86.34131653,86.34131653,86.34131653,0,0,
13.89355742,86.31330532,86.31330532,86.31330532,0,0,
14.11764706,86.28676471,86.28676471,86.28676471,0,0,
14.34173669,86.26155462,86.26155462,86.26155462,0,0,
14.56582633,86.23634454,86.23634454,86.23634454,0,0,
14.78991597,86.21113445,86.21113445,86.21113445,0,0,
15.0140056,86.18592437,86.18592437,86.18592437,0,0,
15.23809524,86.16071429,86.16071429,86.16071429,0,0,
15.46218487,86.1355042,86.1355042,86.1355042,0,0,
15.68627451,86.11029412,86.11029412,86.11029412,0,0,
15.91036415,86.08508403,86.08508403,86.08508403,0,0,
16.13445378,86.05987395,86.05987395,86.05987395,0,0,
16.35854342,86.03466387,86.03466387,86.03466387,0,0,
16.58263305,86.00945378,86.00945378,86.00945378,0,0,
16.80672269,85.9842437,85.9842437,85.9842437,0,0,
17.03081232,85.95903361,85.95903361,85.95903361,0,0,
17.25490196,85.93382353,85.93382353,85.93382353,0,0,
17.4789916,85.90861345,85.90861345,85.90861345,0,0,
17.70308123,85.88340336,85.88340336,85.88340336,0,0,
17.92717087,85.85819328,85.85819328,85.85819328,0,0,
18.1512605,85.83298319,85.83298319,85.83298319,0,0,
18.37535014,85.80777311,85.80777311,85.80777311,0,0,
18.59943978,85.78256303,85.78256303,85.78256303,0,0,
18.82352941,85.75735294,85.75735294,85.75735294,0,0,
19.04761905,85.73214286,85.73214286,85.73214286,0,0,
19.27170868,85.70693277,85.70693277,85.70693277,0,0,
19.49579832,85.68172269,85.68172269,85.68172269,0,0,
19.71988796,85.65651261,85.65651261,85.65651261,0,0,
19.94397759,85.63130252,85.63130252,85.63130252,0,0,
20.16806723,85.60609244,85.60609244,85.60609244,0,0,
20.39215686,85.58088235,85.58088235,85.58088235,0,0,
20.6162465,85.55567227,85.55567227,85.55567227,0,0,
20.84033613,85.53046218,85.53046218,85.53046218,0,0,
21.06442577,85.5052521,85.5052521,85.5052521,0,0,
21.28851541,85.48004202,85.48004202,85.48004202,0,0,
21.51260504,85.45483193,85.45483193,85.45483193,0,0,
21.73669468,85.42962185,85.42962185,85.42962185,0,0,
21.96078431,85.40441176,85.40441176,85.40441176,0,0,
22.18487395,85.35840336,85.35840336,85.35840336,0,0,
22.40896359,85.30798319,85.30798319,85.30798319,0,0,
22.63305322,85.25756303,85.25756303,85.25756303,0,0,
22.85714286,85.20714286,85.20714286,85.20714286,0,0,
23.08123249,85.15672269,85.15672269,85.15672269,0,0,
23.30532213,85.10630252,85.10630252,85.10630252,0,0,
23.52941176,85.05588235,85.05588235,85.05588235,0,0,
23.7535014,85.00546218,85.00546218,85.00546218,0,0,
23.97759104,84.95504202,84.95504202,84.95504202,0,0,
24.20168067,84.90462185,84.90462185,84.90462185,0,0,
24.42577031,84.85420168,84.85420168,84.85420168,0,0,
24.64985994,84.80378151,84.80378151,84.80378151,0,0,
24.87394958,84.75336134,84.75336134,84.75336134,0,0,
25.09803922,84.70294118,84.70294118,84.70294118,0,0,
25.32212885,84.65252101,84.65252101,84.65252101,0,0,
25.54621849,84.60210084,84.60210084,84.60210084,0,0,
25.77030812,84.55168067,84.55168067,84.55168067,0,0,
25.99439776,84.5012605,84.5012605,84.5012605,0,0,
26.21848739,84.45084034,84.45084034,84.45084034,0,0,
26.44257703,84.40042017,84.40042017,84.40042017,0,0,
26.66666667,84.35,84.35,84.35,0,0,
26.8907563,84.29957983,84.29957983,84.29957983,0,0,
27.11484594,84.24915966,84.24915966,84.24915966,0,0,
27.33893557,84.1987395,84.1987395,84.1987395,0,0,
27.56302521,84.14831933,84.14831933,84.14831933,0,0,
27.78711485,84.09789916,84.09789916,84.09789916,0,0,
28.01120448,84.04747899,84.04747899,84.04747899,0,0,
28.23529412,83.99705882,83.99705882,83.99705882,0,0,
28.45938375,83.94663866,83.94663866,83.94663866,0,0,
28.68347339,83.89621849,83.89621849,83.89621849,0,0,
28.90756303,83.84579832,83.84579832,83.84579832,0,0,
29.13165266,83.79537815,83.79537815,83.79537815,0,0,
29.3557423,83.74495798,83.74495798,83.74495798,0,0,
29.57983193,83.69453782,83.69453782,83.69453782,0,0,
29.80392157,83.64411765,83.64411765,83.64411765,0,0,
30.0280112,83.59947479,83.59947479,83.59947479,0,0,
30.25210084,83.59527311,83.59527311,83.59527311,0,0,
30.47619048,83.59107143,83.59107143,83.59107143,0,0,
30.70028011,83.58686975,83.58686975,83.58686975,0,0,
30.92436975,83.58266807,83.58266807,83.58266807,0,0,
