Ageing Time,C5 (Pred),C5 (Pred)*,C5 (True),AE,SE,RMSE
329.4117647,66.98676471,66.98676471,66.98676471,0,0,
329.6358543,66.9727591,66.9727591,66.9727591,0,0,
329.859944,66.9587535,66.9587535,66.9587535,0,0,
330.0840336,66.9447479,66.9447479,66.9447479,0,0,
330.3081232,66.9307423,66.9307423,66.9307423,0,0,
330.5322129,66.91673669,66.91673669,66.91673669,0,0,
330.7563025,66.90273109,66.90273109,66.90273109,0,0,
330.9803922,66.88872549,66.88872549,66.88872549,0,0,
331.2044818,66.87471989,66.87471989,66.87471989,0,0,
331.4285714,66.86071429,66.86071429,66.86071429,0,0,
331.6526611,66.84670868,66.84670868,66.84670868,0,0,
331.8767507,66.83270308,66.83270308,66.83270308,0,0,
332.1008403,66.81869748,66.81869748,66.81869748,0,0,
332.32493,66.80469188,66.80469188,66.80469188,0,0,
332.5490196,66.79068627,66.79068627,66.79068627,0,0,
332.7731092,66.77668067,66.77668067,66.77668067,0,0,
332.9971989,66.76267507,66.76267507,66.76267507,0,0,
333.2212885,66.74866947,66.74866947,66.74866947,0,0,
333.4453782,66.73466387,66.73466387,66.73466387,0,0,
333.6694678,66.72065826,66.72065826,66.72065826,0,0,
333.8935574,66.70665266,66.70665266,66.70665266,0,0,
334.1176471,66.69607843,66.69607843,66.69607843,0,0,
334.3417367,66.68860878,66.68860878,66.68860878,0,0,
334.5658263,66.68113912,66.68113912,66.68113912,0,0,
334.789916,66.67366947,66.67366947,66.67366947,0,0,
335.0140056,66.66619981,66.66619981,66.66619981,0,0,
335.2380952,66.65873016,66.65873016,66.65873016,0,0,
335.4621849,66.6512605,66.6512605,66.6512605,0,0,
335.6862745,66.64379085,66.64379085,66.64379085,0,0,
335.9103641,66.6363212,66.6363212,66.6363212,0,0,
336.1344538,69.919071,69.919071,66.62885154,3.29021946,10.82554409,
336.3585434,69.8964052,69.8964052,66.62138189,3.27502331,10.72577768,
336.5826331,69.890803,69.890803,66.61391223,3.27689077,10.73801312,
336.8067227,69.8852007,69.8852007,66.60644258,3.27875812,10.75025481,
337.0308123,69.8795985,69.8795985,66.59897292,3.28062558,10.7625042,
337.254902,69.8739963,69.8739963,66.59150327,3.28249303,10.77476049,
337.4789916,69.868394,69.868394,66.58403361,3.28436039,10.78702317,
337.7030812,69.8627918,69.8627918,66.57656396,3.28622784,10.79929342,
337.9271709,69.8571895,69.8571895,66.5690943,3.2880952,10.81157004,
338.1512605,69.8515873,69.8515873,66.56162465,3.28996265,10.82385424,
338.3753501,69.8459851,69.8459851,66.554155,3.2918301,10.83614541,
338.5994398,69.8403828,69.8403828,66.54668534,3.29369746,10.84844296,
338.8235294,69.8347806,69.8347806,66.53921569,3.29556491,10.86074808,
339.047619,69.8291783,69.8291783,66.53174603,3.29743227,10.87305958,
339.2717087,69.8235761,69.8235761,66.52427638,3.29929972,10.88537864,
339.4957983,69.8179739,69.8179739,66.51680672,3.30116718,10.89770475,
339.719888,69.8123716,69.8123716,66.50933707,3.30303453,10.91003711,
339.9439776,69.8067694,69.8067694,66.50186741,3.30490199,10.92237716,
340.1680672,69.8011671,69.8011671,66.49439776,3.30676934,10.93472347,
340.3921569,69.7955649,69.7955649,66.4869281,3.3086368,10.94707747,
340.6162465,69.7899627,69.7899627,66.47945845,3.31050425,10.95943839,
340.8403361,69.783604,69.783604,66.4719888,3.3116152,10.96679523,
341.0644258,69.7778758,69.7778758,66.46451914,3.31335666,10.97833236,
341.2885154,69.7731559,69.7731559,66.45704949,3.31610641,10.99656172,
341.512605,69.7675537,69.7675537,66.44957983,3.31797387,11.0089506,
341.7366947,69.7619514,69.7619514,66.44211018,3.31984122,11.02134573,
341.9607843,69.7563492,69.7563492,66.43464052,3.32170868,11.03374855,
342.1848739,69.750747,69.750747,66.42717087,3.32357613,11.04615829,
342.4089636,69.7451447,69.7451447,66.41970121,3.32544349,11.05857441,
342.6330532,69.7395425,69.7395425,66.41223156,3.32731094,11.07099809,
342.8571429,69.7339402,69.7339402,66.4047619,3.3291783,11.08342815,
343.0812325,69.728338,69.728338,66.39729225,3.33104575,11.09586579,
343.3053221,69.7227358,69.7227358,66.3898226,3.3329132,11.1083104,
343.5294118,69.7171335,69.7171335,66.38235294,3.33478056,11.12076138,
343.7535014,69.7115313,69.7115313,66.37488329,3.33664801,11.13321994,
343.977591,69.705929,69.705929,66.36741363,3.33851537,11.14568488,
344.2016807,69.7003268,69.7003268,66.35994398,3.34038282,11.15815738,
344.4257703,69.6894491,69.6894491,66.35247432,3.33697478,11.13540068,
344.6498599,69.6782446,69.6782446,66.34500467,3.33323993,11.11048843,
344.8739496,69.6670402,69.6670402,66.33753501,3.32950519,11.08560481,
345.0980392,69.6558357,69.6558357,66.33006536,3.32577034,11.06074835,
345.3221289,69.6446312,69.6446312,66.3225957,3.3220355,11.03591986,
345.5462185,69.6334267,69.6334267,66.31512605,3.31830065,11.0111192,
345.7703081,69.6222222,69.6222222,66.3076564,3.3145658,10.98634644,
345.9943978,69.6110177,69.6110177,66.30018674,3.31083096,10.96160165,
346.2184874,69.5998133,69.5998133,66.29271709,3.30709621,10.93688534,
346.442577,69.5886088,69.5886088,66.28524743,3.30336137,10.91219634,
346.6666667,69.5774043,69.5774043,66.27777778,3.29962652,10.88753517,
346.8907563,69.5661998,69.5661998,66.27030812,3.29589168,10.86290197,
347.1148459,69.5554953,69.5554953,66.26283847,3.29265683,10.841589,
347.3389356,69.5443791,69.5443791,66.25536881,3.28901029,10.81758869,
347.5630252,69.5332586,69.5332586,66.24789916,3.28535944,10.79358665,
347.7871148,69.5221382,69.5221382,66.24042951,3.28170869,10.76961193,
348.0112045,69.5110177,69.5110177,66.23295985,3.27805785,10.74566327,
348.2352941,69.4998729,69.4998729,66.2254902,3.2743827,10.72158207,
348.4593838,69.4887768,69.4887768,66.21802054,3.27075626,10.69784651,
348.6834734,69.4776564,69.4776564,66.21055089,3.26710551,10.67397841,
348.907563,69.4653595,69.4653595,66.20308123,3.26227827,10.64245951,
349.1316527,69.454155,69.454155,66.19561158,3.25854342,10.61810522,
349.3557423,69.4432951,69.4432951,66.18814192,3.25515318,10.59602223,
349.5798319,69.4321746,69.4321746,66.18067227,3.25150233,10.5722674,
349.8039216,69.4215415,69.4215415,66.17320261,3.24833889,10.55170554,
350.0280112,69.4109337,69.4109337,66.16573296,3.24520074,10.53132784,
350.2521008,69.3998133,69.3998133,66.15826331,3.24154999,10.50764634,
350.4761905,69.3886928,69.3886928,66.15079365,3.23789915,10.48399091,
350.7002801,69.3775724,69.3775724,66.143324,3.2342484,10.46036271,
350.9243697,69.3664519,69.3664519,66.13585434,3.23059756,10.43676059,
351.1484594,69.3553315,69.3553315,66.12838469,3.22694681,10.41318571,
351.372549,69.344211,69.344211,66.12091503,3.22329597,10.38963691,
351.5966387,69.3330906,69.3330906,66.11344538,3.21964522,10.36611534,
351.8207283,69.3219701,69.3219701,66.10597572,3.21599438,10.34261985,
352.0448179,69.3084967,69.3084967,66.09850607,3.20999063,10.30403984,
352.2689076,69.2925537,69.2925537,66.09103641,3.20151729,10.24971296,
352.4929972,69.2617414,69.2617414,66.08356676,3.17817464,10.10079404,
352.7170868,69.230929,69.230929,66.07609711,3.15483189,9.952964254,
352.9411765,69.2001167,69.2001167,66.06862745,3.13148925,9.806224923,
353.1652661,69.1693044,69.1693044,66.0611578,3.1081466,9.660575287,
353.3893557,69.1384921,69.1384921,66.05368814,3.08480396,9.516015472,
353.6134454,69.1076797,69.1076797,66.04621849,3.06146121,9.37254474,
353.837535,69.0768674,69.0768674,66.03874883,3.03811857,9.230164445,
354.0616246,75.2695465,75.2695465,66.03127918,9.23826732,85.34558308,
354.2857143,0,51,66.02380952,15.02380952,225.7148525,
354.5098039,0,51,66.01633987,15.01633987,225.4904631,
354.7338936,0,51,66.00887021,15.00887021,225.266185,
354.9579832,0.74080497,51,66.00140056,15.00140056,225.0420188,
355.1820728,0,51,65.99393091,14.99393091,224.8179641,
355.4061625,0.052904069,51,65.98646125,14.98646125,224.5940208,
355.6302521,0.468572617,51,65.9789916,14.9789916,224.3701894,
355.8543417,0,51,65.97152194,14.97152194,224.1464692,
356.0784314,0,51,65.96405229,14.96405229,223.9228609,
356.302521,0.568220079,51,65.95658263,14.95658263,223.699364,
356.5266106,0.060899027,51,65.94911298,14.94911298,223.4759789,
356.7507003,0,51,65.94164332,14.94164332,223.2527051,
356.9747899,0,51,65.93417367,14.93417367,223.0295432,
357.1988796,0.339738905,51,65.92670401,14.92670401,222.8064926,
357.4229692,0,51,65.91923436,14.91923436,222.5835539,
357.6470588,0,51,65.91176471,14.91176471,222.3607268,
357.8711485,0.103676066,51,65.90429505,14.90429505,222.1380109,
358.0952381,0,51,65.89960317,14.89960317,221.9981746,
358.3193277,0,51,65.89866947,14.89866947,221.970352,
358.5434174,69.7152661,69.7152661,65.89773576,3.81753034,14.5735379,
358.767507,69.7096639,69.7096639,65.89680205,3.81286185,14.53791549,
358.9915966,69.7040616,69.7040616,65.89586835,3.80819325,14.50233583,
359.2156863,69.6969188,69.6969188,65.89493464,3.80198416,14.45508355,
359.4397759,69.6857143,69.6857143,65.89400093,3.79171337,14.37709028,
359.6638655,69.6745098,69.6745098,65.89306723,3.78144257,14.29930791,
359.8879552,69.6633053,69.6633053,65.89213352,3.77117178,14.22173659,
360.1120448,69.6521008,69.6521008,65.89119981,3.76090099,14.14437626,
360.3361345,69.6408964,69.6408964,65.89026611,3.75063029,14.06722757,
360.5602241,69.6296919,69.6296919,65.8893324,3.7403595,13.99028919,
